trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.6, 'e': 0.9900498337491681}",20,7,-91.71790146823203,"{0: 6, 1: 0, 2: 6, 3: 0, 4: 1}",1
2,False,"{'a': 0.6, 'e': 0.9801986733067553}",20,0,-47.54528654409106,"{0: 13, 1: 1, 2: 6, 3: 0, 4: 0}",0
3,False,"{'a': 0.6, 'e': 0.9704455335485082}",35,0,-160.0569443531642,"{0: 27, 1: 1, 2: 2, 3: 2, 4: 3}",0
4,False,"{'a': 0.6, 'e': 0.9607894391523232}",25,0,-44.12143203565177,"{0: 18, 1: 0, 2: 7, 3: 0, 4: 0}",0
5,False,"{'a': 0.6, 'e': 0.951229424500714}",30,18,-35.177114593472496,"{0: 9, 1: 2, 2: 0, 3: 0, 4: 1}",1
6,False,"{'a': 0.6, 'e': 0.9417645335842487}",20,0,-10.297774233545287,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
7,False,"{'a': 0.6, 'e': 0.9323938199059483}",20,0,-45.29230776183325,"{0: 17, 1: 0, 2: 1, 3: 1, 4: 1}",0
8,False,"{'a': 0.6, 'e': 0.9231163463866358}",20,0,-96.40427832726445,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",0
9,False,"{'a': 0.6, 'e': 0.9139311852712282}",30,0,-160.4615948671727,"{0: 16, 1: 2, 2: 10, 3: 1, 4: 1}",0
10,False,"{'a': 0.6, 'e': 0.9048374180359595}",20,0,-154.47520401762978,"{0: 10, 1: 0, 2: 7, 3: 1, 4: 2}",0
11,False,"{'a': 0.6, 'e': 0.8958341352965282}",20,0,-128.51877359332505,"{0: 11, 1: 3, 2: 3, 3: 1, 4: 2}",0
12,False,"{'a': 0.6, 'e': 0.8869204367171575}",25,0,-82.12722750513734,"{0: 17, 1: 1, 2: 6, 3: 0, 4: 1}",0
13,False,"{'a': 0.6, 'e': 0.8780954309205613}",20,0,-72.83075237409852,"{0: 12, 1: 1, 2: 6, 3: 1, 4: 0}",0
14,False,"{'a': 0.6, 'e': 0.8693582353988059}",20,0,-101.32285436252941,"{0: 13, 1: 1, 2: 3, 3: 2, 4: 1}",0
15,False,"{'a': 0.6, 'e': 0.8607079764250578}",20,0,-64.60999576858828,"{0: 11, 1: 4, 2: 4, 3: 1, 4: 0}",0
16,False,"{'a': 0.6, 'e': 0.8521437889662113}",20,9,-49.147670741819766,"{0: 7, 1: 0, 2: 2, 3: 2, 4: 0}",1
17,False,"{'a': 0.6, 'e': 0.8436648165963837}",25,1,-119.38701312518758,"{0: 15, 1: 2, 2: 5, 3: 0, 4: 2}",1
