trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.9900498337491681}",20,0,-68.9806237606635,"{0: 11, 1: 5, 2: 2, 3: 2, 4: 0}",0
2,False,"{'a': 0.5, 'e': 0.9801986733067553}",20,0,-179.58310697347315,"{0: 9, 1: 3, 2: 5, 3: 0, 4: 3}",0
3,False,"{'a': 0.5, 'e': 0.9704455335485082}",25,0,-118.33395548281956,"{0: 12, 1: 5, 2: 5, 3: 3, 4: 0}",0
4,False,"{'a': 0.5, 'e': 0.9607894391523232}",30,0,-146.088646034265,"{0: 16, 1: 4, 2: 6, 3: 4, 4: 0}",0
5,False,"{'a': 0.5, 'e': 0.951229424500714}",20,0,-112.91065772436055,"{0: 11, 1: 0, 2: 7, 3: 1, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.9417645335842487}",20,0,-108.00545099508066,"{0: 12, 1: 0, 2: 6, 3: 1, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.9323938199059483}",30,0,-97.5530319141346,"{0: 22, 1: 3, 2: 3, 3: 0, 4: 2}",0
8,False,"{'a': 0.5, 'e': 0.9231163463866358}",35,0,-141.29273457250437,"{0: 20, 1: 5, 2: 8, 3: 1, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.9139311852712282}",35,0,-112.07219636931093,"{0: 25, 1: 1, 2: 6, 3: 2, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.9048374180359595}",20,0,-59.99856179605768,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.8958341352965282}",20,2,-208.3616906616358,"{0: 9, 1: 0, 2: 4, 3: 1, 4: 4}",1
12,False,"{'a': 0.5, 'e': 0.8869204367171575}",20,0,-134.68116352125617,"{0: 10, 1: 0, 2: 7, 3: 2, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.8780954309205613}",25,0,-118.01574236689353,"{0: 16, 1: 3, 2: 4, 3: 0, 4: 2}",0
14,False,"{'a': 0.5, 'e': 0.8693582353988059}",20,0,-86.89131716488188,"{0: 13, 1: 0, 2: 6, 3: 0, 4: 1}",0
15,False,"{'a': 0.5, 'e': 0.8607079764250578}",25,0,-107.4269467076605,"{0: 13, 1: 5, 2: 6, 3: 0, 4: 1}",0
16,False,"{'a': 0.5, 'e': 0.8521437889662113}",25,0,-182.56136128579385,"{0: 12, 1: 2, 2: 7, 3: 2, 4: 2}",0
17,False,"{'a': 0.5, 'e': 0.8436648165963837}",20,0,-54.93838382691832,"{0: 12, 1: 4, 2: 3, 3: 1, 4: 0}",0
18,False,"{'a': 0.5, 'e': 0.835270211411272}",30,0,-135.63470181058466,"{0: 16, 1: 2, 2: 10, 3: 2, 4: 0}",0
19,False,"{'a': 0.5, 'e': 0.8269591339433623}",30,0,-70.6398939023598,"{0: 22, 1: 3, 2: 4, 3: 0, 4: 1}",0
20,False,"{'a': 0.5, 'e': 0.8187307530779818}",35,0,-142.0377932505421,"{0: 21, 1: 4, 2: 8, 3: 1, 4: 1}",0
1,True,"{'a': 0.0, 'e': 0.0}",20,0,-90.50914193538723,"{0: 13, 1: 3, 2: 1, 3: 2, 4: 1}",0
2,True,"{'a': 0.0, 'e': 0.0}",20,0,-150.0796991152616,"{0: 6, 1: 4, 2: 8, 3: 1, 4: 1}",0
3,True,"{'a': 0.0, 'e': 0.0}",25,0,-99.16295509052732,"{0: 18, 1: 3, 2: 2, 3: 0, 4: 2}",0
4,True,"{'a': 0.0, 'e': 0.0}",25,0,-198.43941919049826,"{0: 13, 1: 1, 2: 7, 3: 1, 4: 3}",0
5,True,"{'a': 0.0, 'e': 0.0}",25,0,-116.0011478098044,"{0: 13, 1: 6, 2: 4, 3: 1, 4: 1}",0
6,True,"{'a': 0.0, 'e': 0.0}",30,2,-184.7808775846506,"{0: 14, 1: 4, 2: 6, 3: 2, 4: 2}",1
7,True,"{'a': 0.0, 'e': 0.0}",20,0,-81.08802918325307,"{0: 14, 1: 2, 2: 2, 3: 1, 4: 1}",0
8,True,"{'a': 0.0, 'e': 0.0}",30,0,-175.9273339571195,"{0: 18, 1: 0, 2: 8, 3: 2, 4: 2}",0
9,True,"{'a': 0.0, 'e': 0.0}",20,0,-81.3838344389917,"{0: 11, 1: 2, 2: 6, 3: 1, 4: 0}",0
10,True,"{'a': 0.0, 'e': 0.0}",20,0,-108.67494477126523,"{0: 10, 1: 2, 2: 7, 3: 0, 4: 1}",0
